uid,number
FBvIoimE80MKswCfdF2V4mSLxmr1,3
DzhMjYmLuZTAYlBjZOe0CBzZrga2,1
Lj01AVxSP2PXepzGPokel88IGe33,2
RnXnpJgg2RWozUrZRW4bbcvK3cw2,2
UskO74b29wXWjXwKhoCGgEoZ3FW2,2
1RAxEzsYTfVnMrTRq2cb4BYhTLQ2,2
4z35AuXlqicvgfEstbUtjwAcqKN2,4
5gFyYoQ8z9dATk1u2nALkxtuOoz1,1
OwDoAAtAXmdKWYzAHOFUqhSrz4k2,2
HpY5YEwq7Hf51kJr10s8q34wuNe2,25
m0Gh9WVKS7PuBGOMqeC91menEXw2,1
yIqJQJQDVxWfr0P9l6FcW1JzO2N2,6
j4gHgnVovCczFzJOYV5PpwaxBq22,2
wpAmltox3dfbd59d3dkJshIHuKC2,2
RcdnV9xVxSTG7gZESb043SsaHYy1,2
Z86SikKfg3TMpAhTKbFP3fZUUUH2,1
WbfBqWVD7xMBwqrd1tnTZLKKVJJ2,2
O5XLSfmcKYYSI8QxezVmy9fn1hI3,3
b6OH4bW0cnSV6uOph5CUJwvOguB3,2
UvXNC5oFASVdKYvFdiPWWWVNC0a2,2
xIpLVEk4lQP2ESdLhus7k9InZV33,2
C0ZUYdrE6VXGcSqlzWn2cJfkSs13,2
YOupkduTnsM20BvfiwtIBn1bXl62,2
spOQ55QuzRVoEQRu2k7eFHiMS2s2,3
1IaqfQ9P0Wd2SAav2TwDwiwOOVJ2,1
wLRDu9ygiQaMKhxWjWV3H3t34322,2
K3sWPKoDTSOvFkjGbUIgz7FNCjZ2,2
Zve5NxdJ12fRMysRrCpwVhV6hmx2,1
5hKIK1WymMRfri5lS4jRmHhxmXG2,2
2xmguVgeZETAMiivxCYXRqCY1Kg2,2
Bi6LcpsD3MgdJMA3AuqcncVE1kf1,2
IYoElqwZA1YQoshEOTHqlArbieH2,4
md9z2ejGaSZukGhxJPifWZW3Ixq2,3
snBsF9H55LhGKSN3pfPYfxmmgv93,2
a1ueYpsui3edpGBhIkqNErk12fi2,2
iGeScGhoXVXYR3hTQjTx1G9DRe13,2
AriZnjo0f0hzV5cGUBGHnm7Te3h2,2
t7IybWCWmlWJ4AEC159wxk69aXJ3,1
JXyyeeRb6HbEyHMjUwFIJ9FIJxl2,3
0S471GtLdtT9eQ0Px0pRpBRqLym2,2
TO63P6kCD3QtzJNUaQFxBnfQPdr2,2
YhoGb4aooPPNR7VYnXj0T0JHZb32,2
O9y6WL8w3RSnOoyZFJgtYPEh1rr1,2
fmcYkwTSPqML4JmqSD0vKAmXr4z2,1
vrhRuwliK3b43Q9oYN2sjx5zgiG2,2
h5RBFRQNYtburkAzDP4WsfxQf352,1
TLbCVgh7WRfRqD0KGcgNhlrbGVl1,3
gozCn1nbOzNFK0n5knNeiS0KK0s2,2
NAFWYU4P7TN7JBp16S81kaF9S113,2
htagkTjkv6Sb07zjaJE3eyHVohH3,2
FmwRDSoZpVMRz4WiT4WqNHSxcgq2,2
sxbo9aYaLUgMYrM5EGjiHwuxPhs1,5
DrSs4EXpySOf7fsfpd9YpcICerJ3,6
1PEUaIU4scSODGj2b6dH91KagAG2,2
aoxXSSt19FMBKExeiJHO1apcjHG3,2
xcu2zssdBjMbQkvYcWIPzzca5mj1,1
4t8RmwTawWRslA9GSwdRSE8V2lb2,3
LMmeq9PRoBOwl4HsZGpBYydxoQn1,3
AodooT55alchRolTzKvTlTUsDSo2,2
aNw7guXINbVs5nwcHQPxQEPlmkQ2,1
ZjLES4zk5DTIGmGjQmH0CfMrac92,1
gISUL4fV5rNPTzJcuWRvPLMeRz43,1
IsXkVT5n9rX7YDrUQGwIiEvEED42,7
KvTjS1vZi8OKEgpoFUSaITPXqoZ2,2
YkKy7P9gdsYfIrJocu4tyKFlfrc2,2
Y1HuMJSYPjNSXfd45FrwFsTeIF02,2
eoykEZzRFKchp6CjLvRo8EvvcBZ2,5
DAsQLlgXFHhCRWxN7RVa7dMYZZY2,2
WNAH3eeVFQfNWnllQ7hwB3zi8kA2,2
DOSYiHnxfgVDlRwhQsmZ5sUHKGX2,6
U6ZVak2C5jTFqrjh8usNbQ18xi42,2
lpdrwhzu5kPA529XCI4ERoqKO8y1,7
eu4H0Pmvf2guOcwwu857VT5KOBP2,1
n7GetmYN1FgGw6UM2oTuydYJnQ72,4
LAYMV1BhSLfxn38vtXIMmFy6H4b2,3
5ZcUaEBcQOTfDN7NA6XJFo9laox1,2
nZnspIlwyPTQU2TSIAdzgPoZRZf1,2
6B5arBDkOBQHxMPlCwlmwoB5bwN2,2
Sy58Zyso5uei9FsBaueZ9soIvSl1,2
TpVJR5ryoiNWWitgqtrIjhiNXEZ2,2
D51MaM6izubtIZcMWaUQkXO0j893,2
nzXPH0GHeed7f819sIe6pxMjieh2,2
ASrxymXAowf9T5riBRhBzTUFiqh1,2
M3yGhChgBMg4XEcfCrKKkNHJJAA3,4
8VjSJ2yWjkhBj4p6YPiTmcJKfdI2,31
ztsRo8bgs1as0xhSpAtREH0p6Cj2,9
vQukXkyyJyXhFj57CfU2p7GcMnf2,3
8wGoxAZ7ssZhambgUJnIxuEFLem2,3
lbbTU5KEw8PCzg6EwVEorIzC9N23,2
ROB0SLakNwPbPvJyEtZ0IqLjkZP2,1
vbv9Hxvp5cQpRTNpwviAeYmzasj2,2
orOXvhheSlhQ44c4QkK65ooJ0jG2,2
VLQB4swoqmROmtPoOuTNmocQx8i1,6
KK39twik3kYq0OCxCInCNeOQeHy1,9
i0sh1kESQPh8tVPNKUvrMSOtHOq2,2
QUxSw7w8V7VaKphpQdW0g9gp4Vx1,2
QQ4hS0qPGhbfVD7Hbny25TtamVV2,3
ca8JFMntZkUR7yx7OVxPkIofNxG3,3
qlrFmATOcbXjZdyir0DPBe3aHE52,2
boJyBgPvqmh5KBv9h0rv5QFXlgw2,2
K9l0FF73BOcYhprHIIqEK6sGXH43,1
ti44YviaQbOcM9Je0NlZqy6YdRn1,1
JvblR0qRWWgGaTgGNsj3v8iOxk53,2
tIN001MnA5TCgGqa9OhtIFBdMOR2,7
Ksv8mRQ5zbOfgJR4ZO1edGwrnAf2,3
wO3whnkFYXdMyVaw501V7J8oErn2,2
RUbpFPn9Hpbg1aJIN15cH5AQcIk2,2
o20JGrQc3AUdEKvJLMDkgT0isId2,3
jKY6q5v06LSnqcO4f4qmkhXGJQO2,3
trqkuxCyHwRzx6LLmZM3RGiNToL2,1
R3e6TYdzSdQzVUjCm5hS2dIHKAd2,4
XioRVpqpHWXxMnGQ2n0Ln0Zx7E53,2
06XSEq4NaRV718K1k4g8xLcTDeg1,2
iwu667DhYjPSxKnwVmBLwqj0WP32,2
k2ROtss0gXZqa15ni8oZeWSYH0i2,4
LthHAv6vY4aFBpgbLU8MQcsaN5O2,3
VtTcNBhiZdXtlkNaTgxKNZLt5F93,3
YCt49Gutq6WzuOOhqV3ubPWRFz22,2
q1qSfwmkG8P7GNW9ZCCgpdhzLtu1,2
SNH7lA2KKhW74Q1CoXIZvg79Bto1,13
XFANWzcxKNeHMMBBSSWz13hW6Zv2,2
6edoQrBLQHVckoH0SABPuG8NB3J3,6
qwi2U3mtsuV8keGOqDX1wfMnxqV2,4
y5eCY92nOWUQ21SYplOJLvtapO92,5
9Io7Ml3rejWXU826BbLPTUDTLvP2,3
mt0ESG2pEBgWTbhhWo4cx4y1RvF3,2
h1R2UwVbV6XQsJS6iDhc3GXAxW13,2
WUOFFipqknQ20DYK9pbaRnWIQp12,1
XnCy4tGrIPQxC0n8OJcavZIW9872,2
RchwUQKPdDQoan8jL0ARyZsxQLz2,3
6RwAoA5I98SO5GMAcWPZqtrSvro1,2
TPalmBwfIuMqSRsGWG892qiURKC2,3
67H5DNNFjrdkQkXhOVPaaLcOYDB2,4
25eVo3C2zVPhFrc6DHyQIMPn9wr1,3
zMnRzrq7qCUv2Qe67X0gGFUN7L02,2
JMcq2ZuMXxVO9CzhbcxiStMH40b2,4
pbXD0huk96cmnXEWe1jckxzn4ZH3,3
ko2AertJeUQcxKzyHE9HPrkawTq2,2
brdDATdLiheyK8ZLnO4NebbeL1B3,2
N9K8raysfkTTIZocIYpLdX2yZl02,13
4OiqGELtJqQLG2DfnmOtI6OpJ3B2,7
0VpHeSlybIhzbXNh9YswZ1QeXS42,4
UGX0hmoxSlhajw11VAa5hGaHNDx1,2
